obra;mes_ano
Z152;07/2013
Z152;08/2013
Z152;09/2013
Z152;10/2013
Z152;11/2013
Z152;12/2013
Z152;01/2014
Z152;02/2014
Z152;03/2014
Z152;04/2014
Z152;05/2014
Z152;06/2014
Z152;07/2014
Z152;08/2014
Z152;09/2014
Z152;10/2014
Z152;11/2014
Z152;12/2014
Z152;01/2015
Z152;02/2015
Z152;03/2015
Z152;04/2015
Z152;05/2015
Z152;06/2015
Z152;07/2015
Z152;08/2015
Z152;09/2015
Z152;10/2015
Z152;11/2015
Z152;12/2015
Z152;01/2016
Z152;02/2016
Z152;03/2016
Z152;04/2016
Z152;05/2016
Z152;06/2016
Z152;07/2016
Z152;08/2016
Z152;09/2016
Z152;10/2016
Z152;11/2016
Z152;12/2016
Z152;01/2017
Z152;02/2017
Z152;03/2017
Z154;07/2012
Z154;08/2012
Z154;09/2012
Z154;10/2012
Z154;11/2012
Z154;12/2012
Z154;01/2013
Z154;02/2013
Z154;03/2013
Z154;04/2013
Z154;05/2013
Z154;06/2013
Z154;07/2013
Z154;08/2013
Z154;09/2013
Z154;10/2013
Z154;11/2013
Z154;12/2013
Z154;01/2014
Z154;02/2014
Z154;03/2014
Z154;04/2014
Z154;05/2014
Z154;06/2014
Z154;07/2014
Z154;08/2014
Z154;09/2014
Z154;10/2014
Z154;11/2014
Z154;12/2014
Z154;01/2015
Z154;02/2015
Z154;03/2015
Z154;04/2015
Z154;05/2015
Z154;06/2015
Z154;07/2015
Z157;09/2012
Z157;10/2012
Z157;11/2012
Z157;12/2012
Z157;01/2013
Z157;02/2013
Z157;03/2013
Z157;04/2013
Z157;05/2013
Z157;06/2013
Z157;07/2013
Z157;08/2013
Z157;09/2013
Z157;10/2013
Z157;11/2013
Z157;12/2013
Z157;01/2014
Z157;02/2014
Z158;11/2012
Z158;12/2012
Z158;01/2013
Z158;02/2013
Z158;03/2013
Z158;04/2013
Z158;05/2013
Z158;06/2013
Z158;07/2013
Z158;08/2013
Z158;09/2013
Z158;10/2013
Z158;11/2013
Z158;12/2013
Z158;01/2014
Z158;02/2014
Z158;03/2014
Z158;04/2014
Z158;05/2014
Z158;06/2014
Z158;07/2014
Z158;08/2014
Z158;09/2014
Z158;10/2014
Z158;11/2014
Z158;12/2014
Z158;01/2015
Z158;02/2015
Z158;03/2015
Z158;04/2015
Z158;05/2015
Z158;06/2015
Z158;07/2015
Z158;08/2015
Z158;09/2015
Z158;10/2015
Z158;11/2015
Z158;12/2015
Z158;01/2016
Z158;02/2016
Z158;03/2016
Z158;04/2016
Z158;05/2016
Z158;06/2016
Z158;07/2016
Z158;08/2016
Z158;09/2016
Z158;10/2016
Z158;11/2016
Z158;12/2016
Z158;01/2017
Z158;02/2017
Z158;03/2017
Z158;04/2017
Z158;05/2017
Z158;06/2017
Z158;07/2017
Z158;08/2017
Z158;09/2017
Z158;10/2017
Z158;11/2017
Z158;12/2017
Z158;01/2018
Z158;02/2018
Z158;03/2018
Z158;04/2018
Z158;05/2018
Z158;06/2018
Z158;07/2018
Z158;08/2018
Z158;09/2018
Z158;10/2018
Z161;12/2012
Z161;01/2013
Z161;02/2013
Z161;03/2013
Z161;04/2013
Z161;05/2013
Z161;06/2013
Z161;07/2013
Z161;08/2013
Z161;09/2013
Z161;10/2013
Z161;11/2013
Z161;12/2013
Z161;01/2014
Z161;02/2014
Z161;03/2014
Z161;04/2014
Z161;05/2014
Z161;06/2014
Z161;07/2014
Z161;08/2014
Z161;09/2014
Z161;10/2014
Z161;11/2014
Z161;12/2014
Z161;01/2015
Z161;02/2015
Z161;03/2015
Z161;04/2015
Z161;05/2015
Z161;06/2015
Z161;07/2015
Z161;08/2015
Z161;09/2015
Z161;10/2015
Z161;11/2015
Z161;12/2015
Z161;01/2016
Z161;02/2016
Z161;03/2016
Z161;04/2016
Z161;05/2016
Z161;06/2016
Z161;07/2016
Z161;08/2016
Z161;09/2016
Z161;10/2016
Z161;11/2016
Z161;12/2016
Z161;01/2017
Z161;02/2017
Z161;03/2017
Z161;04/2017
Z161;05/2017
Z161;06/2017
Z161;07/2017
Z161;08/2017
Z161;09/2017
Z161;10/2017
Z161;11/2017
Z161;12/2017
Z161;01/2018
Z161;02/2018
Z161;03/2018
Z161;04/2018
Z161;05/2018
Z161;06/2018
Z161;07/2018
Z161;08/2018
Z161;09/2018
